PL NO.,COMPANY,COMMODITY,STATUS,EXPIRY DATE,AREA,MINERAL RIGHT,AREA ORIG
PL064/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,648.42,Metals & Radioactive,648.42
PL056/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclearfuels",First Renewal,20110630,714.64,Metals & Radioactive,714.64
PL056/2006,Manica Minerals Limited,"PGM’s precious-metals, base-metals & nuclear fuels",First Renewal,20110630,714.64,Metals & Radioactive,714.64
PL058/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,726.08,Metals & Radioactive,726.08
PL057/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,749.61,Metals & Radioactive,749.61
PL053/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclearfuels",First Renewal,20110630,856.25,Metals & Radioactive,856.25
PL052/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,856.25,Metals & Radioactive,856.25
PL053/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,856.25,Metals & Radioactive,856.25
PL055/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclearfuels",First Renewal,20110630,868.75,Metals & Radioactive,868.75
PL055/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,868.75,Metals & Radioactive,868.75
Folio lb,,Manganese,New Application,20110630,884.00,Metals,884.00
Folio la,,Manganese,New Application,20110630,890.80,Metals,890.80
Folio lc,,Manganese,New Application,20110630,892.60,Metals,892.60
PL054/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclearfuels",First Renewal,20110630,913.03,Metals & Radioactive,913.03
PL054/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,913.03,Metals & Radioactive,913.03
PL051/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,940.76,Metals & Radioactive,940.76
PL050/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,967.02,Metals & Radioactive,967.02
PL022/2004,Discovery North East (Pty) Ltd,"Base, Precious 8t PGMs",Extension,20110530,,Metals,
