parties_norm,parties_match,code,objectid,parties,archived,type,statusgrp,status,areaunit,layer_id,mapref,typeabb,part,layer_name,dtestart,areavalue,jurisdic,respoffice,name,region,summary,subtype,resources,stragreementconditionsjson,dtegranted,applno,typegroup,dtepegged,codeconcat,renewal,acccode,comments,interest,dteapplied,typecode,dteexpires,dterenewal,oldcode,resourcescd,operador,company,con_type,area_km,location,concession,operador_l,shape_leng,nomes,fc_id,objectid_1,source_name
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1096,1259015,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"NIASSA, MAJUNE, MALANGA; MARRUPA, MARRUPA",,Parte 1,Todas Licenças Extinto,,63920,Moçambique,Maputo Cidade,1096R,,,,"AU, CU, NI, PB, PT, ZN",,,,Pesquisa,,1096 R,,,,Pessoa Colectiva,2005-06-06,R,,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1097,1259016,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"NIASSA, MARRUPA, MARANGIRA, MARRUPA",,Parte 1,Todas Licenças Extinto,,83540,Moçambique,Maputo Cidade,1097R,,,,"AU, CU, NI, PB, PT, ZN",,,,Pesquisa,,1097 R,,,,Pessoa Colectiva,2005-06-06,R,,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"SPI - Gestão e Investimentos, S.A.R.L","SPI - Gestão e Investimentos, S.A.R.L",1134,1259021,"SPI - Gestão e Investimentos, SARL",,Concessão Mineira,Extinto,Pedido Cancelado,Hectares,6,"MAPUTO, BOANE, BOANE",,Parte 1,Todas Licenças Extinto,,840,Moçambique,Maputo Cidade,1134C,,,,CER,,,,Exploração,,1134 C,,,,Pessoa Colectiva,2005-06-23,C,,,,CER,,,,,,,,,,,,MZ
"SPI - Gestão e Investimentos, S.A.R.L","SPI - Gestão e Investimentos, S.A.R.L",1140,1259022,"SPI - Gestão e Investimentos, SARL",,Concessão Mineira,Extinto,Revogado,Hectares,6,"MAPUTO, MOAMBA, MOAMBA",,Parte 1,Todas Licenças Extinto,,80,Moçambique,Maputo Cidade,1140C,,,,CER,,2005-10-27,,Exploração,,1140 C,,,,Pessoa Colectiva,2005-06-27,C,2030-10-27,,,CER,,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1230,1259032,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Abandono Total,Hectares,6,"CABO_DELGADO, MONTEPUEZ, NAIROTO",,Parte 1,Todas Licenças Extinto,,23040,Moçambique,Maputo Cidade,1230R,,,,"AU, CU, NI, PB, PT, ZN",,2005-12-22,,Pesquisa,,1230 R,,,,Pessoa Colectiva,2005-10-03,R,2007-12-22,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1231,1259033,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, BALAMA, MAVALA; MONTEPUEZ, MIRATE, NAIROTO",,Parte 1,Todas Licenças Extinto,,55200,Moçambique,Maputo Cidade,1231R,,,,"AU, CU, NI, PB, PT, ZN",,2006-01-09,,Pesquisa,,1231 R,,,,Pessoa Colectiva,2005-10-03,R,2008-01-09,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1232,1259034,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, BALAMA, BALAMA, MAVALA; MONTEPUEZ, MAPUPULO, MIRATE",,Parte 1,Todas Licenças Extinto,,56960,Moçambique,Maputo Cidade,1232R,,,,"AU, CU, NI, PB, PT, ZN",,2005-12-20,,Pesquisa,,1232 R,,,,Pessoa Colectiva,2005-10-03,R,2007-12-20,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1233,1259035,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, BALAMA, IMPIRI, MAVALA",,Parte 1,Todas Licenças Extinto,,11520,Moçambique,Maputo Cidade,1233R,,,,"AU, CU, NI, PB, PT, ZN",,2005-12-20,,Pesquisa,,1233 R,,,,Pessoa Colectiva,2005-10-03,R,2007-12-20,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1234,1259036,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, BALAMA, BALAMA, IMPIRI, KUEKUE",,Parte 1,Todas Licenças Extinto,,7040,Moçambique,Maputo Cidade,1234R,,,,"AU, CU, NI, PB, PT, ZN",,2005-12-20,,Pesquisa,,1234 R,,,,Pessoa Colectiva,2005-10-03,R,2007-12-20,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1235,1259037,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, MUEDA, NEGOMANO, N'GAPA",,Parte 1,Todas Licenças Extinto,,31200,Moçambique,Maputo Cidade,1235R,,,,"AU, CU, NI, PB, PT, ZN",,2006-01-09,,Pesquisa,,1235 R,,,,Pessoa Colectiva,2005-10-03,R,2008-01-09,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1236,1259038,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, MUEDA, NEGOMANO, N'GAPA",,Parte 1,Todas Licenças Extinto,,45360,Moçambique,Maputo Cidade,1236R,,,,"AU, CU, NI, PB, PT, ZN",,2006-01-09,,Pesquisa,,1236 R,,,,Pessoa Colectiva,2005-10-03,R,2008-01-09,,,"AU, CU, NI, PB, PT, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1290,1259048,"Rovuma Resources, Lda",,Certificado Mineiro,Extinto,Caducado,Hectares,6,"MAPUTO, BOANE, MATOLA RIO; CIDADE_DA_MATOLA, CIDADE_DA_MATOLA",,Parte 1,Todas Licenças Extinto,,100,Moçambique,Maputo Cidade,1290CM,,,,SAN,,2006-03-10,,Exploração,,1290 CM,,,,Pessoa Colectiva,2005-11-21,CM,2008-03-10,,,SAN,,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1321,1259054,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"NIASSA, MECULA, MATONDOVELA",,Parte 1,Todas Licenças Extinto,,69120,Moçambique,Maputo Cidade,1321R,,,,"AU, CU, NI, PB, PT, SN, ZN",,,,Pesquisa,,1321 R,,,,Pessoa Colectiva,2005-12-22,R,,,,"AU, CU, NI, PB, PT, SN, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1322,1259055,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, MECULA, MATONDOVELA",,Parte 1,Todas Licenças Extinto,,94720,Moçambique,Maputo Cidade,1322R,,,,"AU, CAU, CU, NI, PT, SN, ZN",,2006-04-20,,Pesquisa,,1322 R,,,,Pessoa Colectiva,2005-12-20,R,2008-04-20,,,"AU, CAU, CU, NI, PT, SN, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1323,1259056,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, MECULA, MATONDOVELA",,Parte 1,Todas Licenças Extinto,,79360,Moçambique,Maputo Cidade,1323R,,,,"AU, CU, NI, PB, PT, SN, ZN",,2006-02-20,,Pesquisa,,1323 R,,,,Pessoa Colectiva,2005-12-20,R,2008-02-20,,,"AU, CU, NI, PB, PT, SN, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1324,1259057,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, MECULA, MATONDOVELA, MECULA",,Parte 1,Todas Licenças Extinto,,64320,Moçambique,Maputo Cidade,1324R,,,,"AU, CU, NI, PB, PT, SN, ZN",,2006-02-20,,Pesquisa,,1324 R,,,,Pessoa Colectiva,2005-12-20,R,2008-02-20,,,"AU, CU, NI, PB, PT, SN, ZN",,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",1325,1259058,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, MECULA, MATONDOVELA, MECULA",,Parte 1,Todas Licenças Extinto,,94720,Moçambique,Maputo Cidade,1325R,,,,"AU, CU, NI, PB, PT, SN, ZN",,2006-04-19,,Pesquisa,,1325 R,,,,Pessoa Colectiva,2005-12-20,R,2008-04-19,,,"AU, CU, NI, PB, PT, SN, ZN",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1450,1259084,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, LAGO, LUHNO",,Parte 1,Todas Licenças Extinto,,4000,Moçambique,Maputo Cidade,1450R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1450 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Conferências de Moçambique, Limitada","Conferências de Moçambique, Limitada",1419,1259075,Conferencia de Moçambique Lda,,Certificado Mineiro,Extinto,Cancelado,Hectare,6,"NAMPULA, CIDADE_DE_NAMPULA, CIDADE_DE_NAMPULA",,Parte 1,Todas Licenças Extinto,,40,Moçambique,Maputo Cidade,1419CM,,,,Areia,,,,Exploração,,1419 CM,,,,Pessoa Colectiva,2006-05-22,CM,,,,SAN,,,,,,,,,,,,MZ
"Transportes Carlos Oliveira, Limitada","Transportes Carlos Oliveira, Limitada",1440,1259080,"TCO- Transportes Carlos Oliveira, Lda.",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, NHAMATANDA, NHAMATANDA",,Parte 1,Todas Licenças Extinto,,320,Moçambique,Maputo Cidade,1440C,,,,BAS,,,,Exploração,,1440 C,,,,Pessoa Colectiva,2006-06-16,C,,,,BAS,,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1448,1259082,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, SANGA, MATCHEDJE",,Parte 1,Todas Licenças Extinto,,8000,Moçambique,Maputo Cidade,1448R,,,,"COA, DIA, U",,2007-04-23,,Pesquisa,,1448 R,,,,Pessoa Colectiva,2006-06-29,R,2009-04-23,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1449,1259083,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, SANGA, MACALOGE",,Parte 1,Todas Licenças Extinto,,9600,Moçambique,Maputo Cidade,1449R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1449 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1451,1259085,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, SANGA, MACALOGE",,Parte 1,Todas Licenças Extinto,,4800,Moçambique,Maputo Cidade,1451R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1451 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1452,1259086,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, SANGA, MACALOGE",,Parte 1,Todas Licenças Extinto,,9600,Moçambique,Maputo Cidade,1452R,,,,"COA, DIA, U",,2006-09-08,,Pesquisa,,1452 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-08,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1453,1259087,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, SANGA, MACALOGE",,Parte 1,Todas Licenças Extinto,,9600,Moçambique,Maputo Cidade,1453R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1453 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1454,1259088,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, LAGO, COBUE",,Parte 1,Todas Licenças Extinto,,8000,Moçambique,Maputo Cidade,1454R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1454 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1455,1259089,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, LAGO, COBUE",,Parte 1,Todas Licenças Extinto,,7040,Moçambique,Manica,1455R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1455 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1456,1259090,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, LAGO, LUHNO",,Parte 1,Todas Licenças Extinto,,6480,Moçambique,Maputo Cidade,1456R,,,,"COA, DIA, U",,2006-09-11,,Pesquisa,,1456 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-11,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1457,1259091,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NIASSA, SANGA, MATCHEDJE",,Parte 1,Todas Licenças Extinto,,7680,Moçambique,Maputo Cidade,1457R,,,,"COA, DIA, U",,2006-09-06,,Pesquisa,,1457 R,,,,Pessoa Colectiva,2006-06-29,R,2008-09-06,,,"COA, DIA, U",,,,,,,,,,,,MZ
"Mozequipments, Limitada","Mozequipments, Limitada",1505,1259094,"Mozequipments, Lda",,Certificado Mineiro,Extinto,Cancelado,Hectares,6,"MAPUTO, MARRACUENE, MARRACUENE",,Parte 1,Todas Licenças Extinto,,40,Moçambique,Maputo Cidade,1505CM,,,,SAN,,,,Exploração,,1505 CM,,,,Pessoa Colectiva,2006-09-02,CM,,,,SAN,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1539,1259101,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"MAPUTO, MATUTUINE, BELA VISTA",,Parte 1,Todas Licenças Extinto,,1500,Moçambique,Maputo Cidade,1539R,,,,DIT,,,,Pesquisa,,1539 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1540,1259102,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"GAZA, BILENE, CHISSANO, MACIA, MAKLUANE, MESSANO, PRAIA DE BILENE; XAI-XAI, CHICUMBANE, ZONGOENE; MAPUTO, MANHIçA, CALANGA, ILHA JOSINA MACHEL",,Parte 1,Todas Licenças Extinto,,95720,Moçambique,Maputo Cidade,1540R,,,,DIT,,,,Pesquisa,,1540 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1541,1259103,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"GAZA, CHOKWE, CHOKWE, LIONDE, MACARRETANE; GUIJA, CANIçADO, CHIVONGOENE; MAPUTO, MAGUDE, MAHELE, MOTAZE",,Parte 1,Todas Licenças Extinto,,1500,Moçambique,Maputo Cidade,1541R,,,,DIT,,,,Pesquisa,,1541 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1542,1259104,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"MAPUTO, MANHIçA, MALUANA",,Parte 1,Todas Licenças Extinto,,1500,Moçambique,Maputo Cidade,1542R,,,,DIT,,,,Pesquisa,,1542 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1543,1259105,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"GAZA, BILENE, MAZIVILA, MESSANO; CHOKWE, LIONDE",,Parte 1,Todas Licenças Extinto,,15680,Moçambique,Maputo Cidade,1543R,,,,DIT,,,,Pesquisa,,1543 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1544,1259106,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"GAZA, BILENE, CHISSANO; CHIBUTO, ALTO CHANGANE, CHAIMITE, GODIDE; CHOKWE, LIONDE, XILEMBENE; GUIJA, CHIVONGOENE; XAI-XAI, CHICUMBANE",,Parte 1,Todas Licenças Extinto,,1233,Moçambique,Maputo Cidade,1544R,,,,DIT,,,,Pesquisa,,1544 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1545,1259107,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"GAZA, BILENE, MAZIVILA, MESSANO; CHOKWE, LIONDE; MAPUTO, MAGUDE, MAGUDE, MOTAZE",,Parte 1,Todas Licenças Extinto,,99840,Moçambique,Maputo Cidade,1545R,,,,DIT,,,,Pesquisa,,1545 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1546,1259108,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"GAZA, BILENE, CHISSANO, MAZIVILA; CHOKWE, LIONDE, XILEMBENE; XAI-XAI, CHICUMBANE",,Parte 1,Todas Licenças Extinto,,82360,Moçambique,Maputo Cidade,1546R,,,,DIT,,,,Pesquisa,,1546 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"Diatomites de Moçambique, Limitada","Diatomites de Moçambique, Limitada",1548,1259109,"Diatomites de Mocambique, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"MAPUTO, BOANE, BOANE",,Parte 1,Todas Licenças Extinto,,1820,Moçambique,Maputo Cidade,1548R,,,,DIT,,,,Pesquisa,,1548 R,,,,Pessoa Colectiva,2006-10-02,R,,,,DIT,,,,,,,,,,,,MZ
"CIMOC - Sociedade de Cerâmica, Limitada","CIMOC - Sociedade de Cerâmica, Limitada",1601,1259113,"Cimoc-Sociedade de Ceramica, Lda",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"MAPUTO, BOANE, BOANE",,Parte 1,Todas Licenças Extinto,,1500,Moçambique,Maputo Cidade,1601C,,,,CLA,,,,Exploração,,1601 C,,,,Pessoa Colectiva,2006-11-07,C,,,,CLA,,,,,,,,,,,,MZ
"CIMOC - Sociedade de Cerâmica, Limitada","CIMOC - Sociedade de Cerâmica, Limitada",1602,1259114,"Cimoc-Sociedade de Ceramica, Lda",,Concessão Mineira,Extinto,Pedido Cancelado,Hectares,6,"MAPUTO, BOANE, BOANE",,Parte 1,Todas Licenças Extinto,,1995,Moçambique,Maputo Cidade,1602C,,,,CLA,,,,Exploração,,1602 C,0,,,Pessoa Colectiva,2006-11-07,C,,,,CLA,,,,,,,,,,,,MZ
Agri Organic Mining & Marketing Development,Agri Organic Mining & Marketing Development,1630,1259115,AGRI ORGANIC MINING & MARKETING DEVELOPMENT.,,Concessão Mineira,Extinto,Revogado,Hectares,6,"SOFALA, BUZI, BUZI, ESTAQUINHA",,Parte 1,Todas Licenças Extinto,,2940,Moçambique,Maputo Cidade,1630C,,,,"GUA, LST",,2007-04-17,,Exploração,,1630 C,,,,Pessoa Colectiva,2006-11-22,C,2032-04-17,,,"GUA, LST",,,,,,,,,,,,MZ
"Inertes de Moçambique, Limitada","Inertes de Moçambique, Limitada",1651,1259116,"Inertes de Moçambique, Lda",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"MAPUTO, BOANE, MATOLA RIO; MOAMBA, PESSENE",,Parte 1,Todas Licenças Extinto,,400,Moçambique,Maputo Cidade,1651C,,,,SAN,,,,Exploração,,1651 C,,,,Pessoa Colectiva,2006-12-07,C,,,,SAN,,,,,,,,,,,,MZ
"SPI - Gestão e Investimentos, S.A.R.L","SPI - Gestão e Investimentos, S.A.R.L",1702,1259122,"SPI - Gestão e Investimentos, SARL",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"MANICA, SUSSUNDENGA, DOMBE; SOFALA, BUZI, BUZI; CHIBABAVA, GOONDA",,Parte 1,Todas Licenças Extinto,,1600,Moçambique,Maputo Cidade,1702R,,,,"NI, PB, PT",,,,Pesquisa,,1702 R,,,,Pessoa Colectiva,2006-12-19,R,,,,"NI, PB, PT",,,,,,,,,,,,MZ
"Mozambique Minerals, Limitada","Mozambique Minerals, Limitada",1875,1259135,Mozambique Minerals Limited,,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"NIASSA, LAGO, COBUE; SANGA, MACALOGE, MATCHEDJE",,Parte 1,Todas Licenças Extinto,,39600,Moçambique,Maputo Cidade,1875R,,,,"COA, CU, DIA, U",,,,Pesquisa,,1875 R,,,,Pessoa Colectiva,2007-03-13,R,,,,"COA, CU, DIA, U",,,,,,,,,,,,MZ
"Manica Lands Maning, Limitada","Manica Lands Maning, Limitada",1979,1259149,"MANICA LANDS MINING,LDA",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"MANICA, MOSSURIZE, ESPUNGABERA",,Parte 1,Todas Licenças Extinto,,200,Moçambique,Maputo Cidade,1979C,,,,"AU, CAS, DIA, MNP",,,,Exploração,,1979 C,,,,Pessoa Colectiva,2007-05-07,C,,,,"AU, CAS, DIA, MNP",,,,,,,,,,,,MZ
"Zembe Estates, Limitada","Zembe Estates, Limitada",2172,1259178,"ZEMBE ESTATES, LDA",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, CHIBABAVA, CHIBABAVA",,Parte 1,Todas Licenças Extinto,,500,Moçambique,Maputo Cidade,2172C,,,,GUA,,,,Exploração,,2172 C,,,,Pessoa Colectiva,2007-08-17,C,,,,GUA,,,,,,,,,,,,MZ
"Rovuma Resources, Limitada","Rovuma Resources, Limitada",2043,1259159,"Rovuma Resources, Lda",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"CABO_DELGADO, BALAMA, BALAMA, MAVALA; MONTEPUEZ, MAPUPULO, MIRATE",,Parte 1,Todas Licenças Extinto,,54400,Moçambique,Maputo Cidade,2043R,,,,"AU, CU, NI, PB, PD, PT, ZN",,2008-04-29,,Pesquisa,,2043 R,,,,Pessoa Colectiva,2007-06-04,R,2010-04-29,,,"AU, CU, NI, PB, PD, PT, ZN",,,,,,,,,,,,MZ
"SPI - Gestão e Investimentos, S.A.R.L","SPI - Gestão e Investimentos, S.A.R.L",2147,1259173,"SPI - Gestão e Investimentos, SARL",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"NAMPULA, MOSSURIL, MATIBANE, MOSSURIL; NACALA, NACALA; NACALA-A-VELHA, NACALA-A-VELHA",,Parte 1,Todas Licenças Extinto,,20000,Moçambique,Maputo Cidade,2147R,,,,LST,,2009-06-24,,Pesquisa,,2147 R,,,,Pessoa Colectiva,2007-08-02,R,2011-06-24,,,LST,,,,,,,,,,,,MZ
"SPI - Gestão e Investimentos, S.A.R.L","SPI - Gestão e Investimentos, S.A.R.L",2148,1259174,"SPI - Gestão e Investimentos, SARL",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"NAMPULA, NACALA, NACALA",,Parte 1,Todas Licenças Extinto,,4420,Moçambique,Maputo Cidade,2148R,,,,LST,,2009-06-10,,Pesquisa,,2148 R,,,,Pessoa Colectiva,2007-08-02,R,2011-06-10,,,LST,,,,,,,,,,,,MZ
"C.D.M. - Companhia de Desenvolvimento Mineiro, SARL","C.D.M. - Companhia de Desenvolvimento Mineiro, SARL",2149,1259175,"Grupo de Desenvolvimento Mineiro, Sarl",,Concessão Mineira,Extinto,Abandono Total,Hectares,6,"MAPUTO, MOAMBA, MOAMBA, SABIE",,Parte 1,Todas Licenças Extinto,,80,Moçambique,Maputo Cidade,2149C,,,,SAN,,,,Exploração,,2149 C,,,,Pessoa Colectiva,2007-08-02,C,,,,SAN,,,,,,,,,,,,MZ
"Pedreira de Manica, Limitada","Pedreira de Manica, Limitada",2160,1259176,"Pedreira de Manica, Lda",,Concessão Mineira,Extinto,Revogado,Hectares,6,"MANICA, MANICA, MESSICA",,Parte 1,Todas Licenças Extinto,,80,Moçambique,Maputo Cidade,2160C,,,,STO,,2008-03-12,,Exploração,,2160 C,,,,Pessoa Colectiva,2007-08-14,C,2033-03-12,,,STO,,,,,,,,,,,,MZ
"Africa Great Wall Cement Manufacturer, Limitada","Africa Great Wall Cement Manufacturer, Limitada",2429,1259196,"Africa Great Wall Cement Manufacture, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"CABO_DELGADO, ANCUABE, ANCUABE, METORO",,Parte 1,Todas Licenças Extinto,,17600,Moçambique,Maputo Cidade,2429R,,,,"AU, W",,,,Pesquisa,,2429 R,,,,Pessoa Colectiva,2007-11-29,R,,,,"AU, W",,,,,,,,,,,,MZ
"Africa Great Wall Cement Manufacturer, Limitada","Africa Great Wall Cement Manufacturer, Limitada",2430,1259197,"Africa Great Wall Cement Manufacture, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"NAMPULA, ERATI, ALUA; MEMBA, MAZULA; NACAROA, INTETE, NACAROA, SAUA-SAUA",,Parte 1,Todas Licenças Extinto,,24780,Moçambique,Maputo Cidade,2430R,,,,"AU, W",,,,Pesquisa,,2430 R,,,,Pessoa Colectiva,2007-11-29,R,,,,"AU, W",,,,,,,,,,,,MZ
"Mozambique Gems, Limitada","Mozambique Gems, Limitada",2522,1259200,"Mozambique Gems, Lda",,Certificado Mineiro,Extinto,Cancelado,Hectares,6,"NAMPULA, MOGOVOLAS, NAMETIL",,Parte 1,Todas Licenças Extinto,,480,Moçambique,Maputo Cidade,2522CM,,,,TOU,,2008-03-17,,Exploração,,2522 CM,,,,Pessoa Colectiva,2008-03-17,CM,2013-03-17,,,TOU,,,,,,,,,,,,MZ
